brand_key,brand_name,classification,country_of_origin,notes,confirmed,suggested_by,first_seen_run,updated_at
bestum,Bestum,Unclassified,,,false,none,2026-09-09T2105Z,2026-09-10T00:43:50+00:00
betterhood,Betterhood,Unclassified,,,false,none,2026-09-09T2105Z,2026-09-10T10:05:05+00:00
beyondrice,Beyond Rice,Unclassified,,,false,none,2026-09-09T2105Z,2026-09-10T00:43:50+00:00
bie,BiE,Unclassified,,,false,none,2026-09-09T2105Z,2026-09-10T00:43:50+00:00
billiondollarclub,Billion Dollar Club,Unclassified,,,false,none,2026-09-09T2105Z,2026-09-10T00:43:50+00:00
biluma,Biluma,Unclassified,,,false,none,2026-09-09T2105Z,2026-09-10T00:43:50+00:00
biocode,Bio Code,Unclassified,,,false,none,2026-09-09T2105Z,2026-09-10T00:43:50+00:00
bioline,Bioline,Unclassified,,,false,none,2026-09-09T2105Z,2026-09-10T00:43:50+00:00
birkz,Birkz,Unclassified,,,false,none,2026-09-09T2105Z,2026-09-10T00:43:50+00:00
birthdaypopper,Birthday Popper,Unclassified,,,false,none,2026-09-09T2105Z,2026-09-10T00:43:50+00:00
bitamin,Bitamin,Unclassified,,,false,none,2026-09-09T2105Z,2026-09-10T00:43:50+00:00
bluenectar,Blue Nectar,Unclassified,,,false,none,2026-09-09T2105Z,2026-09-10T00:43:50+00:00
blurindia,Blur India,Unclassified,,,false,none,2026-09-09T2105Z,2026-09-10T00:43:50+00:00
blushkar,Blushkar,Unclassified,,,false,none,2026-09-09T2105Z,2026-09-10T00:43:50+00:00
bobi,BOBI,Unclassified,,,false,none,2026-09-09T2105Z,2026-09-10T00:43:50+00:00
boldman,Bold Man,Unclassified,,,false,none,2026-09-09T2105Z,2026-09-10T00:43:50+00:00
bombeaut,Bombeaut,Unclassified,,,false,none,2026-09-09T2105Z,2026-09-10T00:43:50+00:00
borce,Borce,Unclassified,,,false,none,2026-09-09T2105Z,2026-09-10T00:43:50+00:00
botanicalbeauty,Botanical Beauty,Unclassified,,,false,none,2026-09-09T2105Z,2026-09-10T00:43:50+00:00
brintonuvdoux,Brinton UV Doux,Unclassified,,,false,none,2026-09-09T2044Z,2026-09-09T20:44:39+00:00
bronsonprofessional,Bronson Professional,Unclassified,,,false,none,2026-09-09T2105Z,2026-09-10T10:05:05+00:00
bunsak,Bunsak,Unclassified,,,false,none,2026-09-09T2105Z,2026-09-10T00:43:50+00:00
buttr,Buttr,Unclassified,,,false,none,2026-09-09T2105Z,2026-09-10T00:43:50+00:00
callosangeles,CAL Losangeles,Unclassified,,,false,none,2026-09-09T2105Z,2026-09-10T00:43:50+00:00
californiaskin,California Skin+,Unclassified,,,false,none,2026-09-09T2105Z,2026-09-10T00:43:50+00:00
callidus,Callidus,Unclassified,,,false,none,2026-09-09T2105Z,2026-09-10T00:43:50+00:00
calmirize,Calmirize,Unclassified,,,false,none,2026-09-09T2105Z,2026-09-10T10:05:05+00:00
carltonlondon,Carlton London,Unclassified,,,false,none,2026-09-09T2105Z,2026-09-10T00:43:50+00:00
carryitout,Carryitout,Unclassified,,,false,none,2026-09-09T2105Z,2026-09-10T00:43:50+00:00
cerrito,Cerrito,Unclassified,,,false,none,2026-09-09T2105Z,2026-09-10T00:43:50+00:00
challet,Challet,Unclassified,,,false,none,2026-09-09T2105Z,2026-09-10T00:43:50+00:00
charwee,Charwee,Unclassified,,,false,none,2026-09-09T2105Z,2026-09-10T00:43:50+00:00
chelsy,Chelsy,Unclassified,,,false,none,2026-09-09T2105Z,2026-09-10T00:43:50+00:00
cincinnus,Cincinnus,Unclassified,,,false,none,2026-09-09T2105Z,2026-09-10T00:43:50+00:00
clayco,ClayCo.,Unclassified,,,false,none,2026-09-09T2105Z,2026-09-10T00:43:50+00:00
clensta,Clensta,Unclassified,,,false,none,2026-09-09T2105Z,2026-09-10T00:43:50+00:00
cocowalk,Co.Co.Walk,Unclassified,,,false,none,2026-09-09T2105Z,2026-09-10T00:43:50+00:00
cococrush,Coco Crush,Unclassified,,,false,none,2026-09-09T2105Z,2026-09-10T00:43:50+00:00
colorfx,Color fx,Unclassified,,,false,none,2026-09-09T2105Z,2026-09-10T10:05:05+00:00
colorsqueen,Colors Queen,Unclassified,,,false,none,2026-09-09T2105Z,2026-09-10T00:43:50+00:00
communal,Communal,Unclassified,,,false,none,2026-09-09T2105Z,2026-09-10T00:43:50+00:00
cosderma,Cosderma,Unclassified,,,false,none,2026-09-09T2105Z,2026-09-10T00:43:50+00:00
cosiq,CosIQ,Unclassified,,,false,none,2026-09-09T2105Z,2026-09-10T00:43:50+00:00
cpensus,Cpensus,Unclassified,,,false,none,2026-09-09T2105Z,2026-09-10T00:43:50+00:00
cureskin,Cureskin,Unclassified,,,false,none,2026-09-09T2105Z,2026-09-10T10:05:05+00:00
dalba,d'Alba,Unclassified,,,false,none,2026-09-09T2105Z,2026-09-10T00:43:50+00:00
dyou,D'you,Unclassified,,,false,none,2026-09-09T2105Z,2026-09-10T00:43:50+00:00
dabdew,Dab & Dew,Unclassified,,,false,none,2026-09-09T2105Z,2026-09-10T00:43:50+00:00
dailylifeforever52,Daily life FOREVER52,Unclassified,,,false,none,2026-09-09T2105Z,2026-09-10T00:43:50+00:00
dazller,Dazller,Unclassified,,,false,none,2026-09-09T2105Z,2026-09-10T10:05:05+00:00
dedox,DEDOX,Unclassified,,,false,none,2026-09-09T2105Z,2026-09-10T00:43:50+00:00
dejayou,Deja You,Unclassified,,,false,none,2026-09-09T2105Z,2026-09-10T00:43:50+00:00
dermease,Derm Ease,Unclassified,,,false,none,2026-09-09T2105Z,2026-09-10T00:43:50+00:00
dermabay,Dermabay,Unclassified,,,false,none,2026-09-09T2105Z,2026-09-10T00:43:50+00:00
dermatouch,Dermatouch,Unclassified,,,false,none,2026-09-09T2105Z,2026-09-10T00:43:50+00:00
dermdoc,Dermdoc,Unclassified,,,false,none,2026-09-09T2105Z,2026-09-10T00:43:50+00:00
deyga,Deyga,Unclassified,,,false,none,2026-09-09T2105Z,2026-09-10T00:43:50+00:00
dharmanisinternational,Dharmanis International,Unclassified,,,false,none,2026-09-09T2105Z,2026-09-10T00:43:50+00:00
dharohar,Dharohar,Unclassified,,,false,none,2026-09-09T2105Z,2026-09-10T00:43:50+00:00
dhc,DHC,Unclassified,,,false,none,2026-09-09T2105Z,2026-09-10T00:43:50+00:00
diamond,Diamond,Unclassified,,,false,none,2026-09-09T2105Z,2026-09-10T00:43:50+00:00
doksurikorea,Doksuri Korea,Unclassified,,,false,none,2026-09-09T2105Z,2026-09-10T10:05:05+00:00
dosch,Dosch,Unclassified,,,false,none,2026-09-09T2105Z,2026-09-10T00:43:50+00:00
drdermicco,Dr Dermic Co,Unclassified,,,false,none,2026-09-09T2105Z,2026-09-10T00:43:50+00:00
drrashel,Dr.Rashel,Unclassified,,,false,none,2026-09-09T2044Z,2026-09-09T20:44:39+00:00
dreambeauty,Dream Beauty,Unclassified,,,false,none,2026-09-09T2105Z,2026-09-10T00:43:50+00:00
drfoot,DrFoot,Unclassified,,,false,none,2026-09-09T2105Z,2026-09-10T00:43:50+00:00
drveda,DrVeda,Unclassified,,,false,none,2026-09-09T2105Z,2026-09-10T00:43:50+00:00
dsavorywellness,Dsavory Wellness,Unclassified,,,false,none,2026-09-09T2105Z,2026-09-10T00:43:50+00:00
duotronix,Duotronix,Unclassified,,,false,none,2026-09-09T2105Z,2026-09-10T00:43:50+00:00
earthenstory,Earthen Story,Unclassified,,,false,none,2026-09-09T2105Z,2026-09-10T00:43:50+00:00
